,stargazers,forks,branches
commits,0.23667668508270137,0.21468260565552247,0.2769131323793013
releases,0.13068185882059485,0.09587995451476687,0.12439390414732676
contributors,0.5298027329434689,0.41087654311731414,0.17192498011298998
forks,0.6488771120954322,1.0,0.05519877629431131
size,0.048344187432544795,0.032898836951652306,0.053028644456478785
totalIssues,0.5648579359393447,0.45132717589237514,0.23405345670563332
openIssues,0.4189824774633409,0.31762130368924957,0.20301519144940255
totalPullRequests,0.3041505268400988,0.30236582695754965,0.324551542469414
openPullRequests,0.2287222356728928,0.20535276905252356,0.29478670086187525
